"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASVd42a0104","k__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__UCG-004","s__"
"ASV8a5b3b2b","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__","s__"
"ASV9091357c","k__Bacteria","p__Bacillota","c__Clostridia","o__","f__","g__","s__"
"ASV779481fa","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__","s__"
"ASV91cb2177","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__","g__","s__"
"ASV9447c845","k__Bacteria","p__Bacillota","c__Bacilli","o__RF39","f__","g__","s__"
"ASV6e2b2328","k__Bacteria","p__Bacillota","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium","s__"
"ASV77b0e2cd","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Frisingicoccus","s__caecimuris"
"ASVdf6fbcf6","k__Bacteria","p__","c__","o__","f__","g__","s__"
"ASVddad0f55","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Acetitomaculum","s__"
"ASVd591df96","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__","s__"
"ASV1f05284f","k__Bacteria","p__Fusobacteriota","c__Fusobacteriia","o__Fusobacteriales","f__Fusobacteriaceae","g__Fusobacterium","s__varium"
"ASV7c967dcc","k__Bacteria","p__Synergistota","c__Synergistia","o__Synergistales","f__Synergistaceae","g__Cloacibacillus","s__porcorum"
"ASV80438dc9","k__Bacteria","p__Chlamydiota","c__Chlamydiia","o__Chlamydiales","f__Chlamydiaceae","g__Chlamydia","s__suis"
"ASVdbc8d189","k__Bacteria","p__Bacillota","c__Negativicutes","o__Acidaminococcales","f__Acidaminococcaceae","g__Acidaminococcus","s__"
"ASV07d1fbaf","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__","s__"
"ASV640a1cf1","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__","s__"
"ASVe1e7897d","k__Bacteria","p__Bacillota","c__Clostridia","o__Clostridia vadinBB60 group","f__","g__","s__"
"ASV4263c7ab","k__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__","s__"
"ASV565cb923","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__","f__","g__","s__"
"ASVff1e77bd","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__","g__","s__"
"ASV7d8aff2c","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__","s__"
"ASV617b7842","k__Bacteria","p__Bacillota","c__","o__","f__","g__","s__"
"ASV89844f3a","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__","s__"
"ASVfca27a07","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__","g__","s__"
"ASV8784828d","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Anaerofustaceae","g__Anaerofustis","s__stercorihominis"
"ASV3a7e0551","k__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__","s__"
"ASV902e6ff4","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__NK4A214 group","s__"
"ASV139f2b6f","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__","s__"
"ASV42e2c5ee","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__","s__"
"ASV7230cb14","k__Bacteria","p__Bacillota","c__","o__","f__","g__","s__"
"ASVeadb034b","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__","s__"
"ASVb23042f1","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Acutalibacter","s__"
"ASV131f8514","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae NK4A136 group","s__"
"ASVf0b7c81a","k__Bacteria","p__Bacillota","c__","o__","f__","g__","s__"
"ASV5d04a341","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__","s__"
"ASV7dda9c80","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__","f__","g__","s__"
"ASVae16551a","k__Bacteria","p__Spirochaetota","c__Spirochaetia","o__Spirochaetales","f__Spirochaetaceae","g__Treponema","s__berlinense"
"ASV2fc16355","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__","g__","s__"
"ASV5427874b","k__Bacteria","p__Bacillota","c__Clostridia","o__","f__","g__","s__"
"ASVec7b9132","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Ruminococcus","s__"
"ASVf92e53a3","k__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__","s__"
"ASV48ced731","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__","s__"
"ASV60123c0c","k__Bacteria","p__Bacillota","c__Clostridia","o__Clostridia vadinBB60 group","f__","g__","s__"
"ASVa45493c6","k__Bacteria","p__Bacillota","c__Negativicutes","o__Acidaminococcales","f__Acidaminococcaceae","g__Phascolarctobacterium","s__succinatutens"
"ASV4f4b40fb","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Segatella","s__"
"ASV5ec7dc8e","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae UCG-001","s__"
"ASV7ce327fe","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Rikenellaceae RC9 gut group","s__"
"ASVca0ac2df","k__Bacteria","p__Spirochaetota","c__Spirochaetia","o__Spirochaetales","f__Spirochaetaceae","g__Treponema","s__brennaborense"
"ASV5d61b239","k__Bacteria","p__Bacillota","c__Clostridia","o__Clostridia UCG-014","f__","g__","s__"
"ASV94d23af3","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__","s__"
"ASVd9a951d6","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__","s__"
"ASVdd35c718","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Phocea","s__"
"ASVe6470ebf","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Eisenbergiella","s__"
"ASVd79e62d7","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__","s__"
"ASVdc5c6b60","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__","s__"
"ASVb464b57f","k__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__Thomasclavelia","s__"
"ASV708313e2","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae NK3B31 group","s__"
"ASVafd459b5","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__","s__"
"ASV5381c219","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Roseburia","s__faecis"
"ASV44e526a4","k__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Solobacterium","s__"
"ASV5b1e90a9","k__Bacteria","p__Bacillota","c__","o__","f__","g__","s__"
"ASV6dcb583a","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__","s__"
"ASV62217b5b","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__","s__"
"ASV2b943d07","k__Bacteria","p__Actinomycetota","c__Coriobacteriia","o__Coriobacteriales","f__Atopobiaceae","g__Tractidigestivibacter","s__"
"ASVe1e92181","k__Bacteria","p__Spirochaetota","c__Spirochaetia","o__Spirochaetales","f__Spirochaetaceae","g__Treponema","s__berlinense"
"ASV997a658c","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__[Eubacterium] coprostanoligenes group","g__","s__"
"ASV5d570e88","k__Bacteria","p__Bacillota","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Peptostreptococcaceae","g__","s__"
"ASV152e23a2","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Hyphomicrobiales","f__","g__Phreatobacter","s__"
"ASV9be1da93","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__","f__","g__","s__"
"ASV6e889084","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Ruminococcus","s__champanellensis"
"ASVbc32fe56","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-005","s__"
"ASVae504590","k__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Holdemanella","s__"
"ASVf395f72b","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__","s__"
"ASV502635b0","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__","s__"
"ASV0303b8b5","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__","s__"
"ASV6411a5f9","k__Bacteria","p__","c__","o__","f__","g__","s__"
"ASVd58b05f5","k__Bacteria","p__Bacillota","c__Clostridia","o__","f__","g__","s__"
"ASV1d6035df","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__","s__"
"ASV486751ab","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__","s__"
"ASV38f74bbb","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__","s__"
"ASVa95d49ab","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__","s__"
"ASVf6a6ee65","k__Bacteria","p__Bacillota","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Family XI","g__Anaerococcus","s__rubeinfantis"
"ASV08e498e8","k__Bacteria","p__Bacillota","c__","o__","f__","g__","s__"
"ASV05db834e","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__","s__"
"ASV1afc7895","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__","s__"
"ASV7a57a0f6","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae NK4A136 group","s__"
"ASV95137c8e","k__Bacteria","p__Bacillota","c__","o__","f__","g__","s__"
"ASVa82b0fd0","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__","g__","s__"
"ASV2dfb0644","k__Bacteria","p__Bacillota","c__Clostridia","o__Clostridia UCG-014","f__","g__","s__"
"ASV5cd2cdba","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__","s__"
"ASV7dc6ea0e","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__","g__","s__"
"ASVe752d6e0","k__Bacteria","p__Bacillota","c__Negativicutes","o__Veillonellales-Selenomonadales","f__Veillonellaceae","g__Megasphaera","s__hexanoica"
"ASV97496f3b","k__Bacteria","p__Bacillota","c__Clostridia","o__","f__","g__","s__"
"ASVc23ab610","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__","s__"
"ASV5917c345","k__Bacteria","p__","c__","o__","f__","g__","s__"
"ASV18be2bda","k__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","s__"
"ASVe77c5515","k__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Holdemanella","s__biformis"
"ASV4c313ec2","k__Bacteria","p__Bacillota","c__Clostridia","o__","f__","g__","s__"
"ASV6b0b94be","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__","s__"
"ASV1045f915","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Hoylesella","s__"
"ASV53d99faa","k__Bacteria","p__Spirochaetota","c__Spirochaetia","o__Spirochaetales","f__Spirochaetaceae","g__Treponema","s__"
"ASVf5ba217e","k__Bacteria","p__Actinomycetota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__","s__"
"ASVe75320c1","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__","s__"
"ASV815d1171","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__","s__"
"ASV816e15e0","k__Eukaryota","p__","c__","o__","f__","g__","s__"
"ASVf9e7bc03","k__Bacteria","p__Bacillota","c__Bacilli","o__RF39","f__","g__","s__"
"ASVfca09824","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__","s__"
"ASV28e66b14","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__","s__"
"ASV15f76f8e","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae UCG-004","s__"
"ASV1ec261b7","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__UCG-010","g__","s__"
"ASVb34a8508","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__","g__","s__"
"ASV131c29b1","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Parabacteroides","s__"
"ASV31180535","k__Bacteria","p__Bacillota","c__Bacilli","o__","f__","g__","s__"
"ASV4c46c6c7","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Blautia","s__wexlerae"
"ASV85baba79","k__Bacteria","p__Actinomycetota","c__Actinobacteria","o__Mycobacteriales","f__Corynebacteriaceae","g__Corynebacterium","s__kutscheri"
"ASV8ba466fe","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Caproiciproducens","s__"
"ASV5801ed9f","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae ND3007 group","s__"
"ASV2d362c6e","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Blautia","s__wexlerae"
"ASV3ed5a9c1","k__Bacteria","p__Verrucomicrobiota","c__Lentisphaeria","o__Oligosphaerales","f__Oligosphaeraceae","g__horsej-a03","s__"
"ASV4aeaaff6","k__Bacteria","p__Bacillota","c__Clostridia","o__","f__","g__","s__"
"ASV57d7661a","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__","s__"
"ASV4cf52f7e","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__","s__"
"ASV27dca9ac","k__Bacteria","p__Bacillota","c__Clostridia","o__Peptococcales","f__Peptococcaceae","g__","s__"
"ASVa5278354","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-002","s__"
"ASVd6473862","k__Bacteria","p__Bacillota","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenellaceae R-7 group","s__"
"ASVb143cb05","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Parabacteroides","s__"
"ASVccc24ce3","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiia","o__Opitutales","f__","g__","s__"
"ASV1b793ae6","k__Bacteria","p__Actinomycetota","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Arcanobacterium","s__"
"ASV7202274b","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__","g__","s__"
"ASV0e9663c5","k__Bacteria","p__Bacillota","c__","o__","f__","g__","s__"
"ASV23bd79ac","k__Bacteria","p__Bacillota","c__Clostridia","o__","f__","g__","s__"
"ASV09d1aec5","k__Bacteria","p__Bacillota","c__Clostridia","o__","f__","g__","s__"
"ASV00566461","k__Bacteria","p__Actinomycetota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Denitrobacterium","s__"
"ASV9352ea19","k__Bacteria","p__Bacillota","c__Bacilli","o__","f__","g__","s__"
"ASV346adbc8","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__","s__"
"ASVd3406b85","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__","s__"
"ASV56a8fc3c","k__Bacteria","p__Bacillota","c__Clostridia","o__","f__","g__","s__"
"ASVc6477867","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__","s__"
"ASV156bee89","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__","s__"
"ASV79fca98b","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Blautia","s__"
"ASV065f2162","k__Bacteria","p__Bacillota","c__","o__","f__","g__","s__"
"ASV2b6433d8","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__","s__"
"ASV4a9a6617","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__","s__"
"ASVd9259084","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Dorea","s__longicatena"
"ASV4b59dfaa","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Subdoligranulum","s__variabile"
"ASV8e242880","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__","s__"
"ASV2f66610b","k__Bacteria","p__Bacillota","c__Negativicutes","o__Veillonellales-Selenomonadales","f__Selenomonadaceae","g__Mitsuokella","s__"
"ASVd262278e","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Coprococcus","s__"
"ASVda12a6bb","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__thetaiotaomicron"
"ASV341a45ed","k__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__HT002","s__"
"ASVb78b74e8","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospira","s__"
"ASV4c238450","k__Bacteria","p__Bacillota","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__Family XIII AD3011 group","s__"
"ASV599938dd","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__","g__","s__"
"ASV3fd5d3e7","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes","s__"
"ASV68598829","k__Bacteria","p__Bacillota","c__Bacilli","o__RF39","f__","g__","s__"
"ASV5d7dffc8","k__Bacteria","p__Bacillota","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__","s__"
"ASVd1e543e8","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__"
"ASVb5b46c9c","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__","f__","g__","s__"
"ASV38d0f086","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__","s__"
"ASV9a7b6aa2","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Dorea","s__longicatena"
"ASV3bab7cee","k__Bacteria","p__Actinomycetota","c__Actinobacteria","o__Mycobacteriales","f__Corynebacteriaceae","g__Corynebacterium","s__"
"ASV5c0c1692","k__Eukaryota","p__","c__","o__","f__","g__","s__"
"ASV9f1aa676","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__","g__","s__"
"ASVc4f75580","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__","s__"
"ASVd8ce0f80","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-005","s__"
"ASVe704bebf","k__Bacteria","p__Bacillota","c__Negativicutes","o__Veillonellales-Selenomonadales","f__Selenomonadaceae","g__","s__"
"ASV37ce71d2","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__","s__"
"ASV130f43a7","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Xylanibacter","s__"
"ASVe7a5d638","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Howardella","s__ureilytica"
"ASVc75329a7","k__Bacteria","p__Bacillota","c__","o__","f__","g__","s__"
"ASVc5edc39d","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-002","s__"
"ASVeff11343","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__","s__"
"ASV747dda72","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__","s__"
"ASV14a16646","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__","s__"
"ASV1efadf38","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Blautia","s__hansenii"
"ASV5dcf7bc6","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae NK3B31 group","s__"
"ASV0d29fd38","k__Bacteria","p__Bacillota","c__Clostridia","o__","f__","g__","s__"
"ASV206979e8","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__","g__","s__"
"ASV05af33cf","k__Bacteria","p__Bacillota","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Peptostreptococcaceae","g__Terrisporobacter","s__"
"ASVbef3dda7","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Ruminococcus","s__"
"ASVab1edf9e","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Eubacteriaceae","g__Pseudoramibacter","s__alactolyticus"
"ASV38186431","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__[Eubacterium] coprostanoligenes group","g__","s__"
"ASVdcad509d","k__Bacteria","p__Verrucomicrobiota","c__Lentisphaeria","o__Oligosphaerales","f__Oligosphaeraceae","g__Z20","s__"
"ASV5b5f7463","k__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__","g__","s__"
"ASV1377350d","k__Bacteria","p__Bacillota","c__Bacilli","o__RF39","f__","g__","s__"
"ASVb51eefa7","k__Bacteria","p__","c__","o__","f__","g__","s__"
"ASV6728f961","k__Bacteria","p__Bacillota","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__Family XIII UCG-001","s__"
"ASV825e1907","k__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__[Clostridium] innocuum group","s__innocuum"
"ASVf9848a2c","k__Bacteria","p__Bacillota","c__Negativicutes","o__Veillonellales-Selenomonadales","f__Veillonellaceae","g__Megasphaera","s__"
"ASV618e0413","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Ruminococcus","s__"
"ASV997ccccf","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__","s__"
"ASV6767e4fb","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Blautia","s__wexlerae"
"ASVdb8e942f","k__Bacteria","p__Bacillota","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium","s__bornimense"
"ASVe6e10886","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__","s__"
"ASV6319da18","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae NK3B31 group","s__"
"ASVfcb1875f","k__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__","s__"
"ASV6ce3ab05","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__","s__"
"ASV057b4dfa","k__Bacteria","p__Spirochaetota","c__Spirochaetia","o__Spirochaetales","f__Spirochaetaceae","g__Treponema","s__succinifaciens"
"ASV330aa0f3","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__","s__"
"ASVd5a0833e","k__Bacteria","p__Bacillota","c__Negativicutes","o__Veillonellales-Selenomonadales","f__Veillonellaceae","g__Megasphaera","s__"
"ASV16cd9293","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Butyricicoccaceae","g__UCG-009","s__"
"ASV41781bd6","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__"
"ASV05908033","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__","s__"
"ASV0145be37","k__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Erysipelotrichaceae UCG-009","s__"
"ASV745533fd","k__Bacteria","p__Bacillota","c__Clostridia","o__","f__","g__","s__"
"ASV48ad6c05","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__","s__"
"ASVe676542b","k__Bacteria","p__Bacillota","c__Clostridia","o__Clostridia UCG-014","f__","g__","s__"
"ASV9256a0cc","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__","g__","s__"
"ASV7a281216","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Frisingicoccus","s__caecimuris"
"ASVf968f80a","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Ruminococcus","s__"
"ASV45277b69","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidales RF16 group","g__","s__"
"ASVafae587b","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__","g__","s__"
"ASV8e08d974","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__","s__"
"ASV4124fdb3","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__","s__"
